Type,Layer,Class1,Class2,Pearson_Correlation,Spearman_Correlation,Cosine_Similarity,Jaccard_Similarity
res,0,empathetic_dialogue,empathetic_dialogue,1.0,1.0,1.0000000000000004,1.0
res,0,empathetic_dialogue,math,0.6168497451416401,0.505007342816825,0.6198039115593825,0.12489054423837033
res,0,empathetic_dialogue,mmlu,0.8102138058983064,0.6460086422185757,0.8113777249697063,0.2700212780023653
res,0,empathetic_dialogue,programming,0.46599809805697046,0.6152040319815749,0.47073536439997976,0.13155491703869704
res,0,math,empathetic_dialogue,0.6168497451416401,0.5050073428168249,0.6198039115593825,0.12489054423837033
res,0,math,math,1.0,1.0,0.9999999999999999,1.0
res,0,math,mmlu,0.7487294818211694,0.6400559981054723,0.7518861806064914,0.2774507784825768
res,0,math,programming,0.6410023582649744,0.7115809632239932,0.646210674057366,0.30238672079774587
res,0,mmlu,empathetic_dialogue,0.8102138058983065,0.6460086422185758,0.8113777249697063,0.2700212780023653
res,0,mmlu,math,0.7487294818211694,0.6400559981054723,0.7518861806064914,0.2774507784825768
res,0,mmlu,mmlu,1.0,0.9999999999999998,1.0000000000000004,1.0
res,0,mmlu,programming,0.6925533712439907,0.7636043083358972,0.6969020517079976,0.3061669378506011
res,0,programming,empathetic_dialogue,0.4659980980569704,0.6152040319815749,0.47073536439997976,0.13155491703869704
res,0,programming,math,0.6410023582649743,0.7115809632239931,0.646210674057366,0.30238672079774587
res,0,programming,mmlu,0.6925533712439906,0.7636043083358971,0.6969020517079976,0.3061669378506011
res,0,programming,programming,0.9999999999999999,1.0,0.9999999999999998,1.0
res,1,empathetic_dialogue,empathetic_dialogue,0.999999999999999,1.0,1.0,1.0
res,1,empathetic_dialogue,math,0.976462883115846,0.4941867981356219,0.9764801859898904,0.15315224056907004
res,1,empathetic_dialogue,mmlu,0.9877307989704927,0.6293465726866828,0.9877393837501237,0.29791155252272744
res,1,empathetic_dialogue,programming,0.981202174211478,0.6076574400253789,0.9812153491294484,0.1405027576184027
res,1,math,empathetic_dialogue,0.976462883115846,0.49418679813562183,0.9764801859898904,0.15315224056907004
res,1,math,math,1.0,1.0,1.0,1.0
res,1,math,mmlu,0.9880262870340244,0.6298089210252001,0.9880352987384537,0.3368888639831714
res,1,math,programming,0.9891843625795816,0.6927183679382171,0.9891915812203709,0.37890655715790966
res,1,mmlu,empathetic_dialogue,0.9877307989704928,0.6293465726866828,0.9877393837501237,0.29791155252272744
res,1,mmlu,math,0.9880262870340244,0.6298089210252001,0.9880352987384537,0.3368888639831714
res,1,mmlu,mmlu,1.0,1.0,1.0000000000000002,1.0
res,1,mmlu,programming,0.9916465404825402,0.750974436469947,0.9916510876840685,0.3198837186572353
res,1,programming,empathetic_dialogue,0.981202174211478,0.6076574400253789,0.9812153491294484,0.1405027576184027
res,1,programming,math,0.9891843625795815,0.6927183679382172,0.9891915812203709,0.37890655715790966
res,1,programming,mmlu,0.9916465404825402,0.750974436469947,0.9916510876840685,0.3198837186572353
res,1,programming,programming,0.9999999999999998,1.0,0.9999999999999997,1.0
res,2,empathetic_dialogue,empathetic_dialogue,0.9999999999999999,1.0,1.0,1.0
res,2,empathetic_dialogue,math,0.5940807237151269,0.48303825005690515,0.5967157554405371,0.11517052266388962
res,2,empathetic_dialogue,mmlu,0.8462358032762064,0.6195102235562828,0.8470485552486092,0.24696451174347195
res,2,empathetic_dialogue,programming,0.7360835725621385,0.5854319654895451,0.7375702459638704,0.11990990105386615
res,2,math,empathetic_dialogue,0.5940807237151268,0.48303825005690515,0.5967157554405371,0.11517052266388962
res,2,math,math,0.9999999999999998,1.0,0.9999999999999998,1.0
res,2,math,mmlu,0.7544148181554622,0.6466232561811117,0.7563955543932019,0.27478687751931186
res,2,math,programming,0.7532252159501448,0.6947124106386102,0.7553848641309893,0.2903019160160992
res,2,mmlu,empathetic_dialogue,0.8462358032762064,0.6195102235562827,0.8470485552486092,0.24696451174347195
res,2,mmlu,math,0.7544148181554622,0.6466232561811117,0.7563955543932019,0.27478687751931186
res,2,mmlu,mmlu,0.9999999999999999,1.0,1.0000000000000004,1.0
res,2,mmlu,programming,0.8770734761422645,0.7362324555445504,0.8779592288433893,0.282724863259104
res,2,programming,empathetic_dialogue,0.7360835725621385,0.5854319654895452,0.7375702459638704,0.11990990105386615
res,2,programming,math,0.7532252159501447,0.6947124106386102,0.7553848641309893,0.2903019160160992
res,2,programming,mmlu,0.8770734761422646,0.7362324555445505,0.8779592288433893,0.282724863259104
res,2,programming,programming,1.0,1.0,0.9999999999999999,1.0
res,3,empathetic_dialogue,empathetic_dialogue,1.0,1.0,0.9999999999999999,1.0
res,3,empathetic_dialogue,math,0.5214474499586297,0.4315834552261134,0.5241048576246132,0.1116898608947268
res,3,empathetic_dialogue,mmlu,0.8913668038310822,0.6008204848067117,0.8917602380666787,0.24863504398191613
res,3,empathetic_dialogue,programming,0.7680142604241876,0.54821033049778,0.7689868219795265,0.11915812793614428
res,3,math,empathetic_dialogue,0.5214474499586298,0.4315834552261134,0.5241048576246132,0.1116898608947268
res,3,math,math,0.9999999999999999,1.0,0.9999999999999998,1.0
