Type,Layer,Class1,Class2,Pearson_Correlation,Spearman_Correlation,Cosine_Similarity,Jaccard_Similarity,Dice_Coefficient
res,0,empathetic_dialogue,math,0.4403083180036136,0.4403083180036136,0.7256751536778214,0.5689105569098069,0.7252300705151189
res,0,empathetic_dialogue,mmlu,0.5041790056934219,0.5041790056934218,0.7866870489917108,0.6276191246662891,0.7712112928077937
res,0,empathetic_dialogue,programming,0.4717072727139614,0.4717072727139615,0.777969527327985,0.6083536957849726,0.7564924274794663
res,0,math,mmlu,0.48422164089762876,0.48422164089762876,0.7944611327943754,0.6444285600825986,0.7837720357401594
res,0,math,programming,0.47768728966527274,0.4776872896652729,0.7966333905118499,0.6400757575757576,0.7805441359878055
res,0,mmlu,programming,0.68901409781839,0.6890140978183901,0.9248408823668224,0.8590524283380365,0.924183110969082
res,1,empathetic_dialogue,math,0.4552104646664137,0.45521046466641363,0.6824702868610835,0.517455391776571,0.6820040899795501
res,1,empathetic_dialogue,mmlu,0.5329576125686359,0.5329576125686358,0.7540786952245973,0.5817739520958084,0.7355968295279782
res,1,empathetic_dialogue,programming,0.507913592466555,0.5079135924665551,0.7453973436226061,0.562198649951784,0.7197530864197531
res,1,math,mmlu,0.524997909887222,0.524997909887222,0.7628207810248174,0.599632521819017,0.7497128417183552
res,1,math,programming,0.5276393603455589,0.5276393603455588,0.7677390848581275,0.5974546722454672,0.7480082942267816
res,1,mmlu,programming,0.6996587233218144,0.6996587233218146,0.8956999537047079,0.8097798689295916,0.8948932219127205
res,2,empathetic_dialogue,math,0.4584093146663869,0.45840931466638696,0.6914238091300499,0.5272589873691029,0.6904644094154238
res,2,empathetic_dialogue,mmlu,0.5386319048223913,0.5386319048223915,0.7597791199946782,0.5895529324286644,0.7417845865980587
res,2,empathetic_dialogue,programming,0.49302022022999076,0.4930202202299908,0.7428392586230432,0.5577743642259771,0.7161170154486688
res,2,math,mmlu,0.5359323166476966,0.5359323166476966,0.7763343339045295,0.6202451202905129,0.7656188715190229
res,2,math,programming,0.5152153916045159,0.5152153916045159,0.7727312962036128,0.6057302231237323,0.7544607610926891
res,2,mmlu,programming,0.6721804957641495,0.6721804957641494,0.8896286440055279,0.7992132437305359,0.8884030245057848
res,3,empathetic_dialogue,math,0.40561417998845595,0.40561417998845584,0.6804453804981107,0.5138654209323129,0.6788786028494518
res,3,empathetic_dialogue,mmlu,0.5015576086766956,0.5015576086766955,0.7568267315254104,0.5837432047631375,0.7371690094802223
res,3,empathetic_dialogue,programming,0.4296797252504814,0.42967972525048154,0.7329578103518685,0.5418546755873658,0.7028608910641304
res,3,math,mmlu,0.4800760071352929,0.4800760071352929,0.7745452114952541,0.6186858144777491,0.7644297725279827
res,3,math,programming,0.45134141343635237,0.4513414134363525,0.7722335331028662,0.6042468072011079,0.7533090351045463
res,3,mmlu,programming,0.6118378303972121,0.611837830397212,0.892178140714092,0.8026315789473685,0.8905109489051095
res,4,empathetic_dialogue,math,0.4329286888652534,0.4329286888652534,0.6593731384874928,0.49063670411985016,0.6582914572864321
res,4,empathetic_dialogue,mmlu,0.5531591913611895,0.5531591913611894,0.7515849412163803,0.5787902904894549,0.7332073093887839
res,4,empathetic_dialogue,programming,0.4857069724464931,0.48570697244649313,0.7236914867765365,0.5304899541769474,0.6932289267618609
res,4,math,mmlu,0.5369082304354832,0.536908230435483,0.7610727248478708,0.6008860637580661,0.7506918541691734
res,4,math,programming,0.4985813588854904,0.4985813588854904,0.7510334640679636,0.5751043115438108,0.730242825607064
res,4,mmlu,programming,0.6430448095841721,0.6430448095841721,0.8667380461152508,0.7613377248543197,0.8644994246260069
res,5,empathetic_dialogue,math,0.4221786660713215,0.4221786660713215,0.6632188003019771,0.4939209726443769,0.6612410986775178
res,5,empathetic_dialogue,mmlu,0.5454271901857037,0.5454271901857038,0.7533736993465676,0.578414517669532,0.7329057243132034
res,5,empathetic_dialogue,programming,0.45537499116168906,0.455374991161689,0.7168447371263976,0.5194142259414226,0.6837032549429972
res,5,math,mmlu,0.5203363664926921,0.5203363664926921,0.7670936256386887,0.609738239062786,0.7575619740732318
res,5,math,programming,0.47626128593431727,0.47626128593431727,0.7572531098968414,0.5837659662134322,0.7371871585410271
res,5,mmlu,programming,0.628891039801398,0.6288910398013979,0.8736265150235711,0.7718223583460949,0.8712186689714779
res,6,empathetic_dialogue,math,0.40953478642117896,0.40953478642117896,0.6437427229384994,0.47157115621845913,0.6409083981100442
res,6,empathetic_dialogue,mmlu,0.5337983014812214,0.5337983014812215,0.7363909941847377,0.5538476600744077,0.7128725348119211
res,6,empathetic_dialogue,programming,0.4475422124548594,0.44754221245485953,0.6999075825381731,0.4955223880597015,0.6626746506986028
res,6,math,mmlu,0.5241093002168358,0.5241093002168358,0.7617929567590929,0.6024175412293853,0.7518858546283843
res,6,math,programming,0.48835260985515877,0.48835260985515877,0.754658506611874,0.57914668013128,0.7334932054356514
res,6,mmlu,programming,0.6337523994377465,0.6337523994377466,0.8698549794772297,0.765613459171112,0.867249233057544
res,7,empathetic_dialogue,math,0.362689127875911,0.3626891278759109,0.5908329470264303,0.41628796938531454,0.5878578062990796
res,7,empathetic_dialogue,mmlu,0.4938806018177928,0.49388060181779275,0.6969835132515252,0.5031043256997455,0.6694203683640303
res,7,empathetic_dialogue,programming,0.415936574975455,0.4159365749754551,0.6630455632318054,0.4513888888888889,0.6220095693779905
res,7,math,mmlu,0.49066516686486317,0.4906651668648632,0.7265729709127327,0.5555230574241982,0.7142588530241304
res,7,math,programming,0.47739613054899027,0.4773961305489903,0.7289923016727468,0.5442825607064018,0.7049002229973126
res,7,mmlu,programming,0.5982997528632474,0.5982997528632474,0.8450462378036461,0.7280961652416829,0.842657000097972
res,8,empathetic_dialogue,math,0.35665057278694484,0.35665057278694484,0.5883434698292893,0.4145441561532968,0.5861169541438789
res,8,empathetic_dialogue,mmlu,0.47061329415856135,0.4706132941585613,0.6879784234066776,0.49396869703917856,0.6612838649406112
res,8,empathetic_dialogue,programming,0.40570493536540253,0.4057049353654025,0.6619581877441953,0.45148793801725656,0.6221036030571394
res,8,math,mmlu,0.47255100949594475,0.47255100949594475,0.7169770497564821,0.5425132402503611,0.7034146950496286
res,8,math,programming,0.4746365761046887,0.47463657610468873,0.7264540768863086,0.5395904736795852,0.7009532507563218
res,8,mmlu,programming,0.5745676578393549,0.5745676578393549,0.838983246201972,0.7193362794963729,0.8367604267701261
res,9,empathetic_dialogue,math,0.3307211796275306,0.33072117962753067,0.5646392902213032,0.39124140427072024,0.5624349635796045
res,9,empathetic_dialogue,mmlu,0.4590999302327322,0.45909993023273227,0.6764660964370335,0.47941767068273095,0.6481167288768239
res,9,empathetic_dialogue,programming,0.39110424896983587,0.391104248969836,0.6487027386008551,0.4361155413786993,0.6073543928923988
res,9,math,mmlu,0.4658060633966745,0.46580606339667463,0.7082498293410934,0.5307550286658245,0.6934552148797054
res,9,math,programming,0.47173128241999585,0.4717312824199959,0.7193347729490907,0.5294326555979757,0.6923255543945199
res,9,mmlu,programming,0.5665542172226017,0.5665542172226017,0.8336348892753639,0.7115449061662198,0.8314650741592834
res,10,empathetic_dialogue,math,0.3218373541595895,0.32183735415958953,0.5511781357193376,0.3768881247697409,0.547449161612558
res,10,empathetic_dialogue,mmlu,0.458369505120998,0.4583695051209981,0.6655631800394619,0.4652029826014913,0.6350014136273678
res,10,empathetic_dialogue,programming,0.384711153888282,0.38471115388828203,0.6343023355355458,0.41686077763841606,0.5884287069238066
res,10,math,mmlu,0.46154338179779514,0.46154338179779497,0.7033011115518051,0.5272835112692764,0.6904854368932039
res,10,math,programming,0.47211097069190144,0.4721109706919014,0.7186493874441584,0.5292593585276512,0.6921773675293568
res,10,mmlu,programming,0.5600117527784179,0.5600117527784179,0.825277087493119,0.6983992546794274,0.8224205854485613
res,11,empathetic_dialogue,math,0.307211222748094,0.307211222748094,0.527917964937989,0.3547643442622951,0.5237284930988845
res,11,empathetic_dialogue,mmlu,0.43786169500705396,0.43786169500705396,0.6424587671515458,0.43791750609691443,0.6090996239215397
res,11,empathetic_dialogue,programming,0.36862579370942095,0.36862579370942095,0.6131191824872243,0.3920407977415536,0.5632604998037419
res,11,math,mmlu,0.44758625725332757,0.4475862572533276,0.685988771207945,0.506119146353798,0.672083809012155
res,11,math,programming,0.46512629720350007,0.46512629720350007,0.7056138343245424,0.5113698380935056,0.676697159364468
